Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,pkg,category,arch,signed,size_bytes
34404,240,11298,14,38,212992,106496,0,5744,4096,0,6442450944,4096,4096,10,0,10,0,6,0,323584,4096,352123,3,16736,262144,4096,1048576,4096,0,16,8,2.446057546705216,0.013126943721219527,6.094758323600542,39424.0,4096,208896,37408.0,16,205180,28,208,0,99,1,3.528876368792354,3.528876368792354,3.528876368792354,920.0,920,920,328,16,windows_system32,windows_system32,x64,1,329208
34404,240,8226,14,38,24576,36864,0,14496,4096,0,6442450944,4096,4096,10,0,10,0,10,0,65536,4096,68082,3,16736,262144,4096,1048576,4096,0,16,8,1.6957604884906226,0.015920183265625623,5.619332123805962,7680.0,4096,20480,5156.75,128,18202,21,60,0,10,1,3.4963936734540875,3.4963936734540875,3.4963936734540875,972.0,972,972,328,16,windows_system32,windows_system32,x64,0,65536
34404,240,8226,14,38,299008,278528,0,9696,4096,0,6442450944,4096,4096,10,0,10,0,10,0,581632,4096,580895,3,16736,262144,4096,1048576,4096,0,16,8,3.139653952967221,0.015920183265625623,6.142628294349988,71680.0,4096,294912,70312.75,952,294524,34,169,0,6,1,3.542864977607762,3.542864977607762,3.542864977607762,948.0,948,948,328,16,windows_system32,windows_system32,x64,0,577536
34404,240,8226,14,38,4096,16384,0,0,4096,0,6442450944,4096,4096,10,0,10,0,10,0,24576,4096,35866,1,16736,262144,4096,1048576,4096,0,16,4,0.9696646777464554,0.05655612805883116,2.277755986778744,5120.0,4096,8192,1421.0,24,4448,0,0,0,1,1,3.5241064535222657,3.5241064535222657,3.5241064535222657,936.0,936,936,0,16,windows_system32,windows_system32,x64,0,24576
34404,240,34,14,38,28672,28672,0,4864,4096,0,5368709120,4096,4096,10,0,10,0,10,0,61440,4096,122770,2,49504,524288,8192,1048576,4096,0,16,7,2.138451015382612,0.015920183265625623,5.898604070645195,8192.0,4096,24576,6076.285714285715,140,22328,8,105,6,0,3,3.6873055904000807,2.699456786743779,4.908035858557254,688.0,200,956,320,16,windows_system32,windows_system32,x64,0,61440
34404,240,8226,14,38,294912,163840,4096,14800,4096,0,6442450944,4096,4096,10,0,10,0,10,0,466944,4096,519815,3,16864,262144,4096,1048576,4096,0,16,9,2.790510178114667,0.0,6.062502562694841,50972.444444444445,0,290816,49804.666666666664,4,289328,53,253,4,5,1,3.498949288335475,3.498949288335475,3.498949288335475,968.0,968,968,328,16,windows_system32,windows_system32,x64,0,462848
34404,240,8226,14,38,856064,450560,0,185904,4096,0,6442450944,4096,4096,10,0,10,0,10,0,1310720,4096,1311658,3,16736,262144,4096,1048576,4096,0,16,8,3.6747687986958715,0.015920183265625623,6.298243497774336,160768.0,4096,851968,161496.5,1408,851612,49,303,0,2,5,3.736519684741978,2.8647812142497533,5.340693697126257,4533.2,153,20398,328,16,windows_system32,windows_system32,x64,0,1290240
34404,240,34,14,38,864256,466944,0,11776,4096,0,5368709120,4096,4096,10,0,10,0,10,0,1335296,4096,1351847,2,49504,524288,8192,1048576,4096,0,16,8,3.905329572939084,0.015920183265625623,5.960539681389227,165376.0,4096,860160,163594.5,224,856770,27,133,0,0,3,3.5877678314319876,2.763654316696712,4.479689114984067,32784.0,216,97228,328,16,windows_system32,windows_system32,x64,0,1327104
34404,240,34,14,38,20480,32768,0,4864,4096,0,5368709120,4096,4096,10,0,10,0,10,0,57344,4096,59820,3,49504,524288,8192,1048576,4096,0,16,7,2.2560683887991595,0.015920183265625623,6.143221637630629,6436.571428571428,4096,16384,5599.142857142857,308,16192,21,83,0,0,3,3.705123852827614,2.729456786743779,4.88681605359858,612.0,200,940,320,16,windows_system32,windows_system32,x64,0,49152
34404,240,34,14,38,90112,94208,0,20720,4096,0,5368709120,4096,4096,10,0,10,0,10,0,188416,4096,190699,3,49504,524288,8192,1048576,4096,0,16,7,3.6769803282380202,0.015920183265625623,6.018232796934217,24576.0,4096,86016,24107.428571428572,1624,82492,28,157,0,0,2,4.150987154604339,3.504545645954871,4.797428663253806,726.5,441,1012,328,16,windows_system32,windows_system32,x64,0,176128
34404,240,8226,14,38,1011712,520192,0,450384,4096,0,6442450944,4096,4096,10,0,10,0,10,0,1536000,4096,1586782,3,16736,262144,4096,1048576,4096,0,16,8,3.689423017448039,0.015920183265625623,6.260895979316274,190464.0,4096,1007616,189558.0,1704,1006076,59,503,0,124,4,3.7914276984167614,2.829631096096253,4.75188909931259,22713.0,240,87178,328,16,windows_system32,windows_system32,x64,0,1527808
34404,240,34,14,38,1024000,491520,8192,553928,4096,0,5368709120,4096,4096,10,0,10,0,10,0,1527808,4096,1443015,1,352,524288,8192,1048576,4096,0,16,18,1.9145499328271849,0.0,6.41653125661551,76231.11111111111,0,1003520,82159.5,8,1002088,4,41,0,297,1,3.475594087953878,3.475594087953878,3.475594087953878,936.0,936,936,328,16,windows_system32,windows_system32,x64,1,1385944
34404,240,8226,10,0,485376,65024,0,460368,4096,0,6442450944,4096,512,6,0,6,0,5,2,569344,1024,528385,2,320,262144,4096,1048576,4096,0,16,6,4.317952746064894,1.5794910550577632,6.280249901477987,85248.0,1024,483840,91582.5,1016,483508,7,95,0,4,1,3.574918499303222,3.574918499303222,3.574918499303222,916.0,916,916,0,16,windows_system32,windows_system32,x64,1,518488
34404,240,8226,14,38,1372160,192512,0,9488,4096,0,6442450944,4096,4096,10,0,10,0,10,0,1568768,4096,1564847,3,16736,262144,4096,1048576,4096,0,16,8,3.1992400465726845,0.015920183265625623,6.529560822230478,193536.0,4096,1368064,193104.625,160,1364801,43,210,0,3,1,3.522524344077934,3.522524344077934,3.522524344077934,944.0,944,944,328,16,windows_system32,windows_system32,x64,0,1552384
34404,240,8226,14,38,110592,73728,0,9888,4096,0,6442450944,4096,4096,10,0,10,0,10,0,188416,4096,226466,3,16736,262144,4096,1048576,4096,0,16,8,2.471429143423294,0.015920183265625623,6.10827123962867,22528.0,4096,106496,20713.75,48,106348,33,163,0,1,2,3.0975506558473023,2.7006070202136763,3.4944942914809283,628.0,200,1056,328,16,windows_system32,windows_system32,x64,0,184320
34404,240,8226,14,38,98304,53248,0,23920,4096,0,6442450944,4096,4096,10,0,10,0,6,1,155648,4096,210847,3,16736,262144,4096,1048576,4096,0,16,7,2.4710312641798624,0.015920183265625623,6.001915882728768,21650.285714285714,4096,94208,19279.14285714286,444,90946,1,60,0,6,1,3.5136406547733796,3.5136406547733796,3.5136406547733796,956.0,956,956,328,16,windows_system32,windows_system32,x64,1,165344
34404,240,8226,14,38,40960,28672,0,5040,4096,0,6442450944,4096,4096,10,0,10,0,6,0,73728,4096,116549,2,16736,262144,4096,1048576,4096,0,16,7,2.152526541531217,0.015920183265625623,5.968526044730327,9947.42857142857,4096,36864,8401.142857142857,152,35404,10,136,6,2,4,2.93258267191598,2.1609640474436813,3.5327942402502615,474.0,20,916,328,16,windows_system32,windows_system32,x64,0,73728
34404,240,8226,14,38,118784,61440,0,4336,4096,0,6442450944,4096,4096,10,0,10,0,10,0,184320,4096,209474,3,16736,262144,4096,1048576,4096,0,16,8,2.034112882309464,0.015920183265625623,6.286974998625925,22528.0,4096,114688,20322.625,304,112493,24,83,0,30,1,3.534056374417219,3.534056374417219,3.534056374417219,920.0,920,920,328,16,windows_system32,windows_system32,x64,0,184320
34404,240,34,14,38,20480,57344,0,5200,4096,0,5368709120,4096,4096,10,0,10,0,10,0,81920,4096,88636,2,49504,524288,8192,1048576,4096,0,16,8,1.9227320459436634,0.015920183265625623,5.301355048947068,9728.0,4096,28672,7251.25,32,28408,24,110,1,0,13,4.058916329899985,2.7115152436368435,5.755122980889845,2125.846153846154,132,9640,320,16,windows_system32,windows_system32,x64,0,81920
34404,240,8226,14,38,172032,163840,0,5856,4096,0,6442450944,4096,4096,10,0,10,0,10,0,339968,4096,372373,3,16736,262144,4096,1048576,4096,0,16,8,3.1562334148480966,0.015920183265625623,6.03961661020833,41472.0,4096,167936,39374.0,368,165052,30,127,0,3,3,3.353560694201777,3.2412868551750504,3.540082751298746,1356.0,972,1612,328,16,windows_system32,windows_system32,x64,0,335872
34404,240,8226,14,38,192512,184320,0,7584,4096,0,6442450944,4096,4096,10,0,10,0,10,0,380928,4096,403441,2,16736,262144,4096,1048576,4096,0,16,8,3.669336896462359,0.015920183265625623,6.932883964082021,46592.0,4096,188416,44930.25,176,185152,18,256,1,45,17,4.159600060925393,2.7307460128676126,7.987284804771038,5254.235294117647,188,57556,328,17,windows_system32,windows_system32,x64,0,376832
34404,240,8226,14,38,151552,102400,0,11392,4096,0,6442450944,4096,4096,10,0,10,0,10,0,258048,4096,256554,3,16736,262144,4096,1048576,4096,0,16,8,3.2487308993324007,0.015920183265625623,5.961944260936055,31232.0,4096,147456,29908.75,264,145356,33,191,2,1,2,3.1050168192418135,2.7206070202136763,3.4894266182699507,618.0,200,1036,328,16,windows_system32,windows_system32,x64,0,253952
34404,240,8226,14,38,36864,73728,0,7216,4096,0,6442450944,4096,4096,10,0,10,0,10,0,114688,4096,169144,2,16736,262144,4096,1048576,4096,0,16,8,2.2918931086894796,0.013126943721219527,5.672114930499634,12800.0,4096,32768,11866.125,16,31395,20,231,155,5,27,3.2648334991045664,2.5516512004295944,4.093519762582143,914.4444444444445,62,2216,328,16,windows_system32,windows_system32,x64,0,106496
34404,240,8226,14,38,1445888,430080,0,488832,4096,0,6442450944,4096,4096,10,0,10,0,10,0,1880064,4096,1924394,3,16736,262144,4096,1048576,4096,0,16,8,3.6838966426422317,0.015920183265625623,6.428194729631657,231936.0,4096,1441792,232365.25,1024,1438652,45,262,0,255,1,3.509978664805946,3.509978664805946,3.509978664805946,928.0,928,928,328,16,windows_system32,windows_system32,x64,1,1869288
34404,240,8226,14,38,352256,163840,0,9344,4096,0,6442450944,4096,4096,10,0,10,0,10,0,520192,4096,526415,2,16736,262144,4096,1048576,4096,0,16,8,3.003983516542773,0.015920183265625623,6.134450967300909,64000.0,4096,348160,62567.0,656,346060,56,255,1,3,1,3.51200747836471,3.51200747836471,3.51200747836471,980.0,980,980,328,16,windows_system32,windows_system32,x64,0,516096
34404,240,8226,14,38,561152,139264,0,281776,4096,0,6442450944,4096,4096,10,0,10,0,10,0,704512,4096,723560,3,16736,262144,4096,1048576,4096,0,16,8,2.8162156530945888,0.015920183265625623,6.2356598556680725,87040.0,4096,557056,85717.25,208,555004,56,386,3,2,1,3.5383699864975715,3.5383699864975715,3.5383699864975715,928.0,928,928,328,16,windows_system32,windows_system32,x64,0,700416
34404,240,8226,14,38,8192,12288,0,0,4096,0,6442450944,4096,4096,10,0,10,0,10,0,24576,4096,51472,1,352,262144,4096,1048576,4096,0,16,4,1.0460761661054032,0.15799751806615103,2.4716449049675377,5120.0,4096,8192,1630.5,118,5120,1,1,0,3,1,3.442842911459227,3.442842911459227,3.442842911459227,1012.0,1012,1012,0,16,windows_system32,windows_system32,x64,0,24576
34404,240,8226,14,38,69632,45056,0,42656,4096,0,6442450944,4096,4096,10,0,10,0,10,0,118784,4096,156557,3,16736,262144,4096,1048576,4096,0,16,8,2.0302461461552794,0.015920183265625623,6.01564546899367,14336.0,4096,65536,12265.25,160,63232,24,94,0,53,2,3.0782213783352237,2.6506070202136764,3.5058357364567714,564.0,200,928,328,16,windows_system32,windows_system32,x64,0,118784
34404,240,8226,14,38,45056,49152,0,35696,4096,0,6442450944,4096,4096,10,0,10,0,10,0,98304,4096,148238,3,16736,262144,4096,1048576,4096,0,16,8,1.7331620615786243,0.015920183265625623,5.731180795076877,11776.0,4096,40960,9303.25,400,37296,18,58,0,2,1,3.4663783849445537,3.4663783849445537,3.4663783849445537,976.0,976,976,320,16,windows_system32,windows_system32,x64,0,98304
34404,240,8226,14,38,327680,192512,0,210432,4096,0,6442450944,4096,4096,10,0,10,0,10,0,524288,4096,521477,2,16736,262144,4096,1048576,4096,0,16,8,3.1864727505222863,0.015920183265625623,6.18152470708879,64512.0,4096,323584,62685.5,616,320668,47,207,27,2,3,3.304983967923448,2.7446822479075337,3.6781254481336885,14196.666666666666,240,41378,328,16,windows_system32,windows_system32,x64,0,520192
34404,240,8226,14,38,176128,200704,0,6448,4096,0,6442450944,4096,4096,10,0,10,0,10,0,380928,4096,407097,3,16736,262144,4096,1048576,4096,0,16,7,3.1614585922041267,0.015920183265625623,6.601934862535937,53248.0,4096,172032,51500.0,1004,170828,36,172,0,2,1,3.5133385053617814,3.5133385053617814,3.5133385053617814,1032.0,1032,1032,328,16,windows_system32,windows_system32,x64,1,389968
34404,240,8226,8,0,3574784,330752,0,3330288,4096,0,4194304,4096,512,5,2,5,2,5,2,3919872,1024,3818361,3,0,262144,4096,1048576,4096,0,16,5,5.106858847390153,3.0047735451155204,6.41837569473699,759910.4,1024,3574784,780889.0,904,3574401,5,182,0,327,1,3.4594189559898187,3.4594189559898187,3.4594189559898187,804.0,804,804,0,16,windows_system32,windows_system32,x64,1,3807440
34404,240,8226,14,38,1392640,581632,0,406176,4096,0,6442450944,4096,4096,10,0,10,0,10,0,1978368,4096,2058807,3,16736,262144,4096,1048576,4096,0,16,8,3.8089493929200215,0.015920183265625623,6.152710438968733,245760.0,4096,1388544,244934.375,1000,1386083,38,218,3,33,1,3.517101148588679,3.517101148588679,3.517101148588679,904.0,904,904,328,16,windows_system32,windows_system32,x64,1,1997312
34404,240,34,14,38,69632,299008,0,4880,4096,0,5368709120,4096,4096,10,0,10,0,10,0,372736,4096,113559,3,49504,524288,8192,1048576,4096,0,16,8,1.9886885578444589,0.015920183265625623,6.014639137307376,13312.0,4096,65536,43663.875,32,264864,30,123,0,0,3,3.7023015743519534,2.7232312242545964,4.886924825196388,593.3333333333334,200,904,328,16,windows_system32,windows_system32,x64,0,110592
34404,240,34,14,38,581632,245760,0,52416,4096,0,5368709120,4096,4096,10,0,10,0,10,0,831488,4096,856525,2,49504,524288,57344,1048576,4096,0,16,8,3.566953762026451,0.015920183265625623,6.36845818301817,102400.0,4096,577536,101854.375,608,576619,51,468,3,0,4,3.744730458569074,2.75861965610731,4.9613113380746805,3656.5,240,12546,328,16,windows_system32,windows_system32,x64,1,840352
34404,240,8226,14,38,20480,32768,0,7232,4096,0,6442450944,4096,4096,10,0,10,0,10,0,57344,4096,119468,3,16736,262144,4096,1048576,4096,0,16,7,2.443878375435461,0.015920183265625623,5.770732643897486,7606.857142857143,4096,16384,6329.571428571428,928,16008,16,64,0,2,3,3.4425223860060616,3.166647043890646,3.7100534270052994,792.6666666666666,320,1130,320,16,windows_system32,windows_system32,x64,0,57344
34404,240,8226,14,38,299008,536576,0,7904,4096,0,6442450944,4096,4096,10,0,10,0,10,0,839680,4096,882862,3,16736,262144,4096,1048576,4096,0,16,8,2.984674817244643,0.015920183265625623,6.153001138257148,103936.0,4096,462848,102507.75,216,461288,35,153,0,5,2,3.091043381879802,2.654155337925129,3.527931425834475,578.0,200,956,328,16,windows_system32,windows_system32,x64,1,852752
34404,240,8226,11,0,22528,7680,0,22176,4096,0,6442450944,4096,512,6,3,6,3,6,3,49152,1024,40240,2,16736,262144,4096,1048576,4096,0,16,6,3.0616554209606233,0.520333943502828,6.230024285368031,4693.333333333333,512,22528,4745.166666666667,212,22165,5,58,0,4,1,3.317105630414429,3.317105630414429,3.317105630414429,800.0,800,800,148,20,windows_system32,windows_system32,x64,1,38496
34404,240,8226,14,38,69632,102400,0,5376,4096,0,6442450944,4096,4096,10,0,10,0,10,0,176128,4096,228372,2,16736,262144,4096,1048576,4096,0,16,7,3.3303854710571796,0.015920183265625623,5.907385312452349,24576.0,4096,65536,23018.285714285714,788,62556,27,170,1,4,13,4.088076010199165,2.7493231558161444,7.819663879823266,4194.307692307692,118,16936,328,16,windows_system32,windows_system32,x64,0,176128
34404,240,8226,14,38,61440,36864,0,5312,4096,0,6442450944,4096,4096,10,0,10,0,10,0,102400,4096,134717,3,16736,262144,4096,1048576,4096,0,16,7,2.4734418931680575,0.015920183265625623,5.904717534848412,14043.42857142857,4096,57344,12031.42857142857,1064,54092,23,95,0,3,2,3.0813401543990846,2.6530581451920416,3.5096221636061276,602.0,200,1004,328,16,windows_system32,windows_system32,x64,0,102400
